ammotréchidé,Insecte,carn,tel arachnide solifuge
anax,Insecte,carn,"agrionidé,libellule"
androctonus,Insecte,carn,"scorpionidé,scorpion"
anisoptère,Insecte,carn,"agrionidé,libellule"
anophtalme,Insecte,carn,"carabidé,carabe"
arachnide,Insecte,carn,"tel araignée,scorpion"
araignée,Insecte,carn,"arachnide,aranéide"
aranéide,Insecte,carn,tel araignée
aranéidé,Insecte,carn,argéopidé
aranéomorphe,Insecte,carn,"aranéide,tel araignée"
archée,Insecte,carn,"archéidé,araignée"
archéidé,Insecte,carn,"tel archée,araignée"
archiptère,Insecte,carn,"agrionidé,libellule"
argiope,Insecte,carn,"argiopidé,araignée"
argiopidé,Insecte,carn,"aranéidé,tel argiope"
argyronète,Insecte,carn,"agénélidé,araignée"
atrax,Insecte,carn,"diplutidé,araignée"
atype,Insecte,carn,"atypidé,araignée,atypus"
atypus,Insecte,carn,"atypidé,araignée,atype"
ballus,Insecte,carn,"arachnide,araignée"
barban,Insecte,carn,"thysanoptère,thrips"
bathyphante,Insecte,carn,"arachnide,araignée brun"
belinurus,Insecte,carn,arthropode xiphosus
belisarium,Insecte,carn,"scorpionidé,scorpion"
bembidion,Insecte,carn,"carabidé,carabe"
bianor,Insecte,carn,"arachnide,araignée"
bolitophage,Insecte,carn,"ténébrionidé,coléoptère"
bolitophile,Insecte,carn,"mycétophilidé,moucheron"
bothriuridé,Insecte,carn,"scorpionidé,scorpion"
brachyne,Insecte,carn,"carabidé,carabe"
buthidé,Insecte,carn,"scorpionidé,scorpion"
buthus,Insecte,carn,"scorpionidé,scorpion"
calathus,Insecte,carn,"carabidé,carabe"
calliste,Insecte,carn,"carabidé,carabe"
caloptérix,Insecte,carn,"agrionidé,libellule"
calosome,Insecte,carn,"carabidé,carabe"
campode,Insecte,carn,"compodéidé,diploure"
campodéidé,Insecte,carn,tel diploure
caponidé,Insecte,carn,tel araignée haplogyne
carabe,Insecte,carn,"carabidé,coléoptère"
carabidé,Insecte,carn,"tel carabe,coléoptère"
carabique,Insecte,carn,"carabidé,coléoptère"
caraboïde,Insecte,carn,"carabidé,coléoptère"
carterus,Insecte,carn,"carabidé,carabe"
centrure,Insecte,carn,"buthidé,scorpion"
céphalobénidé,Insecte,carn,tel linguatule
cératotriche,Insecte,carn,arthropode
chactidé,Insecte,carn,tel scorpion
charontidé,Insecte,carn,"ampblypyge,arachnide"
chélicérate,Insecte,carn,arthropode
chélifère,Insecte,carn,"chernète,pseudoscorpion"
chéloniellon,Insecte,carn,arthropode fossile
chernète,Insecte,carn,"arthropode,arachnide"
chilopode,Insecte,carn,myriapode
chimonius,Insecte,carn,très pt arachnide
chiracanthum,Insecte,carn,"clubionidé,araignée"
chloroperle,Insecte,carn,"perlidé,plécoptère"
chthonius,Insecte,carn,"chthonidé,peudoscorpion"
cladomelea,Insecte,carn,"aranéidé,araignée"
clubione,Insecte,carn,"clubionidé,araignée"
cordulie,Insecte,carn,"agrionidé,libellule"
cribellate,Insecte,carn,"arachnide,araignée"
cténize,Insecte,carn,"arachnide,araignée"
